"treeType","sequenceType","nodes","accesses","operations","time"
"Treap","bitReversal",8192,8192,98305,0.002
"Treap","plainRandom",262144,2621440,58004242,4.751
"Treap","plainRandom",512,5120,53097,0.006
"Treap","sequential",8192,8192,33550336,0.155
"Treap","plainRandom",256,2560,23344,0.004
"Treap","bitReversal",524288,524288,9437185,0.379
"Treap","plainRandom",2048,20480,282303,0.018
"Treap","sequential",512,512,130816,0.001
"Vanilla","bitReversal",1048576,1048576,18874390,0.814
"Vanilla","bitReversal",262144,262144,4194324,0.150
"Vanilla","bitReversal",2048,2048,18445,0.000
"Vanilla","bitReversal",524288,524288,8912917,0.468
"Vanilla","bitReversal",131072,131072,1966099,0.060
"Vanilla","bitReversal",8192,8192,90127,0.001
"Vanilla","bitReversal",1024,1024,8204,0.000
"Vanilla","bitReversal",4096,4096,40974,0.001
"Vanilla","bitReversal",128,128,649,0.000
"Vanilla","bitReversal",65536,65536,917522,0.020
"Vanilla","bitReversal",16384,16384,196624,0.003
"Vanilla","bitReversal",32768,32768,426001,0.006
"Vanilla","bitReversal",256,256,1546,0.000
"Vanilla","bitReversal",512,512,3595,0.000
